id,customer_id,identifier_type,identifier_value,confidence_score,source_channel,is_verified,verified_at
1,e23b60a3-db63-494b-ade7-e51cf1875aaa,email,nmachado@example.org,1.0,email,True,2025-11-11 13:50:49.063862
2,e23b60a3-db63-494b-ade7-e51cf1875aaa,phone,+55 (011) 0830-1689,0.95,whatsapp,True,2025-09-26 13:50:49.063889
3,e23b60a3-db63-494b-ade7-e51cf1875aaa,facebook_id,fb_225878,0.85,facebook,False,
4,80d9e10b-bc2f-4e6a-ac30-b833c9e8c1fa,email,carvalhoisadora@example.com,1.0,email,True,2025-10-21 13:50:49.063894
5,80d9e10b-bc2f-4e6a-ac30-b833c9e8c1fa,phone,+55 (081) 4580 7191,0.95,whatsapp,True,2025-10-02 13:50:49.063897
6,80d9e10b-bc2f-4e6a-ac30-b833c9e8c1fa,facebook_id,fb_270190,0.85,facebook,False,
7,55f4ddcd-ab62-4e03-bd50-2b2c0053dbf7,email,sarah01@example.com,1.0,email,True,2025-10-12 13:50:49.063900
8,55f4ddcd-ab62-4e03-bd50-2b2c0053dbf7,phone,+55 (084) 1502 6085,0.95,whatsapp,True,2025-07-23 13:50:49.063902
9,55f4ddcd-ab62-4e03-bd50-2b2c0053dbf7,facebook_id,fb_985482,0.85,facebook,False,
10,1526aef5-28ac-41b2-bc83-2f5d131804d8,email,barroscaua@example.org,1.0,email,True,2025-11-01 13:50:49.063906
11,1526aef5-28ac-41b2-bc83-2f5d131804d8,phone,(041) 2878-3451,0.95,whatsapp,True,2025-06-28 13:50:49.063908
12,1526aef5-28ac-41b2-bc83-2f5d131804d8,facebook_id,fb_259666,0.85,facebook,False,
13,7adea4f4-fc19-415a-a11a-109abbb05b85,email,biancada-mota@example.org,1.0,email,True,2025-10-30 13:50:49.063911
14,7adea4f4-fc19-415a-a11a-109abbb05b85,phone,+55 61 8430 6369,0.95,whatsapp,True,2025-10-03 13:50:49.063914
15,7adea4f4-fc19-415a-a11a-109abbb05b85,facebook_id,fb_691056,0.85,facebook,False,
16,5ec0340a-b744-4278-9362-a20cd3c598fc,email,hcirino@example.net,1.0,email,True,2025-09-28 13:50:49.063917
17,5ec0340a-b744-4278-9362-a20cd3c598fc,phone,0900-609-0543,0.95,whatsapp,True,2025-10-21 13:50:49.063919
18,5ec0340a-b744-4278-9362-a20cd3c598fc,facebook_id,fb_918926,0.85,facebook,False,
19,a7266949-e60f-4e87-98b3-c0debd91593a,email,da-rochasara@example.org,1.0,email,True,2025-07-14 13:50:49.063923
20,a7266949-e60f-4e87-98b3-c0debd91593a,phone,+55 (071) 1977 5986,0.95,whatsapp,True,2025-09-13 13:50:49.063925
21,a7266949-e60f-4e87-98b3-c0debd91593a,facebook_id,fb_790198,0.85,facebook,False,
22,55667ff3-9902-4372-967e-368e5d5cb29a,email,renanviana@example.org,1.0,email,True,2025-11-11 13:50:49.063929
23,55667ff3-9902-4372-967e-368e5d5cb29a,phone,11 3934-7645,0.95,whatsapp,True,2025-09-03 13:50:49.063931
24,55667ff3-9902-4372-967e-368e5d5cb29a,facebook_id,fb_267529,0.85,facebook,False,
25,2ddfa179-95c5-425f-8576-3f82c26f5e2b,email,gomesgustavo@example.net,1.0,email,True,2025-10-07 13:50:49.063935
26,2ddfa179-95c5-425f-8576-3f82c26f5e2b,phone,61 5710 6156,0.95,whatsapp,True,2025-07-21 13:50:49.063937
27,2ddfa179-95c5-425f-8576-3f82c26f5e2b,facebook_id,fb_790887,0.85,facebook,False,
28,59915c15-8556-405c-bb1e-6d836ee88c3f,email,gomesgabriel@example.org,1.0,email,True,2025-09-22 13:50:49.063940
29,59915c15-8556-405c-bb1e-6d836ee88c3f,phone,84 4252 2869,0.95,whatsapp,True,2025-11-13 13:50:49.063942
30,59915c15-8556-405c-bb1e-6d836ee88c3f,facebook_id,fb_176066,0.85,facebook,False,
31,367ded8c-91a1-4135-aba5-2d71fcf5b950,email,asafe51@example.org,1.0,email,True,2025-11-27 13:50:49.063945
32,367ded8c-91a1-4135-aba5-2d71fcf5b950,phone,(011) 1957-9384,0.95,whatsapp,True,2025-10-23 13:50:49.063947
33,367ded8c-91a1-4135-aba5-2d71fcf5b950,facebook_id,fb_412758,0.85,facebook,False,
34,1144bf0c-da8d-4b1b-8248-b91a4c6afefc,email,hellena51@example.com,1.0,email,True,2025-09-19 13:50:49.063951
35,1144bf0c-da8d-4b1b-8248-b91a4c6afefc,phone,(084) 7555 0173,0.95,whatsapp,True,2025-11-30 13:50:49.063954
36,1144bf0c-da8d-4b1b-8248-b91a4c6afefc,facebook_id,fb_760471,0.85,facebook,False,
37,ac5b4982-2fd6-459a-bcb6-42fcd1cbd814,email,erickguerra@example.net,1.0,email,True,2025-07-07 13:50:49.063957
38,ac5b4982-2fd6-459a-bcb6-42fcd1cbd814,phone,(071) 7604 8069,0.95,whatsapp,True,2025-08-06 13:50:49.063959
39,ac5b4982-2fd6-459a-bcb6-42fcd1cbd814,facebook_id,fb_939664,0.85,facebook,False,
40,8951ec6b-1bc3-4d9c-9546-74c80a367390,email,anna-liz85@example.net,1.0,email,True,2025-09-18 13:50:49.063963
41,8951ec6b-1bc3-4d9c-9546-74c80a367390,phone,(011) 1203-4783,0.95,whatsapp,True,2025-10-21 13:50:49.063964
42,8951ec6b-1bc3-4d9c-9546-74c80a367390,facebook_id,fb_665840,0.85,facebook,False,
43,5077e927-4ea9-427e-a047-df89949a668d,email,antony52@example.net,1.0,email,True,2025-08-28 13:50:49.063968
44,5077e927-4ea9-427e-a047-df89949a668d,phone,(041) 5328-5683,0.95,whatsapp,True,2025-12-01 13:50:49.063970
45,5077e927-4ea9-427e-a047-df89949a668d,facebook_id,fb_558573,0.85,facebook,False,
