id,tenant_id,client_id,email,phone,whatsapp_number,name,facebook_id,instagram_id,google_id,linkedin_id,tiktok_id,preferred_channel,communication_frequency,best_contact_time,current_stage,last_channel,last_interaction,total_touchpoints,channel_mix,lifetime_value,avg_order_value,purchase_count,tags,segments,cart_items,cart_value
e23b60a3-db63-494b-ade7-e51cf1875aaa,226,226,nmachado@example.org,+55 (011) 0830-1689,(011) 1004 1067,Bryan Martins,fb_225878,ig_578454,google_159578,li_943542,,phone,low,evening,decision,instagram,2025-11-30 13:50:48.811527,18,"{""email"": 0.265212714378638, ""whatsapp"": 0.2189724227510172, ""instagram"": 0.27604281403267494, ""website"": 0.2367760846643523}",2904.28,998.49,16,['VIP'],['High Value'],"[{""product_id"": 0, ""quantity"": 3}, {""product_id"": 1, ""quantity"": 3}]",71.3
80d9e10b-bc2f-4e6a-ac30-b833c9e8c1fa,226,226,carvalhoisadora@example.com,+55 (081) 4580 7191,31 8011 6152,Dra. Maria Helena Camargo,fb_270190,ig_789574,google_492099,,tt_714011,email,low,morning,retention,instagram,2025-12-01 13:50:48.811667,5,"{""email"": 0.2365279220809336, ""whatsapp"": 0.2818945367131533, ""instagram"": 0.2639752424528437, ""website"": 0.2810138103707404}",8255.44,733.79,8,"['Novo', 'Novo', 'VIP']",['At Risk'],"[{""product_id"": 0, ""quantity"": 2}]",159.12
55f4ddcd-ab62-4e03-bd50-2b2c0053dbf7,226,226,sarah01@example.com,+55 (084) 1502 6085,+55 21 8362-9204,Guilherme Garcia,fb_985482,ig_902008,google_823208,,tt_333104,phone,medium,evening,awareness,website,2025-11-13 13:50:48.811752,28,"{""email"": 0.35577689251546624, ""whatsapp"": 0.1556762705440367, ""instagram"": 0.1532536670131941, ""website"": 0.2486143140102982}",4301.02,731.52,17,"['Engajado', 'VIP', 'Em Risco']","['Lost', 'Active']","[{""product_id"": 0, ""quantity"": 2}, {""product_id"": 1, ""quantity"": 3}]",200.03
1526aef5-28ac-41b2-bc83-2f5d131804d8,226,226,barroscaua@example.org,(041) 2878-3451,+55 (051) 8937-7232,Sr. João Felipe Moreira,fb_259666,ig_307183,google_233350,,,phone,medium,evening,retention,instagram,2025-11-20 13:50:48.811846,9,"{""email"": 0.2258695533466834, ""whatsapp"": 0.21629536496164192, ""instagram"": 0.2633895230540582, ""website"": 0.29692037398783955}",9158.02,898.72,6,['VIP'],"['Active', 'Lost']","[{""product_id"": 0, ""quantity"": 1}]",480.62
7adea4f4-fc19-415a-a11a-109abbb05b85,226,226,biancada-mota@example.org,+55 61 8430 6369,(081) 4717 2940,Davi Lucas Machado,fb_691056,ig_749994,google_235067,,tt_176201,phone,high,evening,retention,whatsapp,2025-12-02 13:50:48.811929,27,"{""email"": 0.27539106847386485, ""whatsapp"": 0.29705334542692974, ""instagram"": 0.33173622770560907, ""website"": 0.3895966061961918}",6744.39,238.89,20,"['Engajado', 'Engajado', 'Em Risco']","['Lost', 'Lost']","[{""product_id"": 0, ""quantity"": 2}, {""product_id"": 1, ""quantity"": 3}, {""product_id"": 2, ""quantity"": 1}]",186.08
5ec0340a-b744-4278-9362-a20cd3c598fc,226,226,hcirino@example.net,0900-609-0543,(031) 8289-5152,Laura Barbosa,fb_918926,ig_554901,google_112957,,,whatsapp,low,evening,decision,whatsapp,2025-12-05 13:50:48.812015,25,"{""email"": 0.24002841353881738, ""whatsapp"": 0.20557603947227548, ""instagram"": 0.18791987892396486, ""website"": 0.35288716345949556}",1304.06,991.94,13,['VIP'],['High Value'],"[{""product_id"": 0, ""quantity"": 2}, {""product_id"": 1, ""quantity"": 1}]",326.19
a7266949-e60f-4e87-98b3-c0debd91593a,226,226,da-rochasara@example.org,+55 (071) 1977 5986,(021) 9719 5332,Ana Vitória Farias,fb_790198,ig_832320,google_589066,li_253924,tt_859564,email,medium,evening,consideration,email,2025-11-11 13:50:48.812133,23,"{""email"": 0.3462178378340358, ""whatsapp"": 0.21280459921168826, ""instagram"": 0.19354543134647456, ""website"": 0.22364175471169156}",2439.19,830.37,16,"['Engajado', 'Novo']",['High Value'],"[{""product_id"": 0, ""quantity"": 3}, {""product_id"": 1, ""quantity"": 2}, {""product_id"": 2, ""quantity"": 3}]",191.87
55667ff3-9902-4372-967e-368e5d5cb29a,226,226,renanviana@example.org,11 3934-7645,+55 (021) 9207 8147,Milena Mendonça,fb_267529,ig_878339,google_924080,li_831166,,email,medium,evening,consideration,email,2025-11-22 13:50:48.812213,16,"{""email"": 0.24670644899730923, ""whatsapp"": 0.2663301665069573, ""instagram"": 0.15619604821537092, ""website"": 0.3864976115293492}",9936.6,485.3,4,"['Em Risco', 'Novo', 'Engajado']",['At Risk'],"[{""product_id"": 0, ""quantity"": 3}, {""product_id"": 1, ""quantity"": 1}, {""product_id"": 2, ""quantity"": 1}]",42.59
2ddfa179-95c5-425f-8576-3f82c26f5e2b,226,226,gomesgustavo@example.net,61 5710 6156,+55 51 0148 0400,Ana Beatriz Mendonça,fb_790887,ig_482201,google_357954,li_102913,tt_528334,phone,low,evening,retention,instagram,2025-11-23 13:50:48.812285,14,"{""email"": 0.3515391331381817, ""whatsapp"": 0.23032747792505012, ""instagram"": 0.2965079466133643, ""website"": 0.39271687682158357}",3258.61,861.96,10,['Em Risco'],"['At Risk', 'High Value']","[{""product_id"": 0, ""quantity"": 2}]",112.77
59915c15-8556-405c-bb1e-6d836ee88c3f,226,226,gomesgabriel@example.org,84 4252 2869,0900-843-1902,Rafaela Pires,fb_176066,ig_788545,google_303603,,tt_991730,phone,low,morning,awareness,website,2025-11-23 13:50:48.812381,36,"{""email"": 0.2392898584043437, ""whatsapp"": 0.1339116529722133, ""instagram"": 0.2492658108332445, ""website"": 0.3941363220656095}",1090.04,477.14,19,"['Engajado', 'VIP', 'Engajado']","['High Value', 'Active']","[{""product_id"": 0, ""quantity"": 1}, {""product_id"": 1, ""quantity"": 1}, {""product_id"": 2, ""quantity"": 2}]",20.16
